GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KL,GaussianMLPPolicy/AverageStd,Extras/EpisodeRewardMean,GaussianMLPPolicy/KLBefore,NumTrajs,ProcessExecTime,PolicyExecTime,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/LossBefore,Perplexity,EnvExecTime,StdReturn,AverageDiscountedReturn,AverageReturn,MaxReturn,Entropy,Iteration,LinearFeatureBaseline/ExplainedVariance,MinReturn
8.12426,0.019030716,1.8247774,-7.0810972291439205,-1.06587385e-10,280,0.13100409507751465,2.5638506412506104,0.003099002,-0.042806715,-0.039707713,2811.625501719792,5.387295961380005,3748.530443791735,477.5043464348632,866.7238952797151,40724.65696762604,7.9415180654412225,0,-1.5400196229364838e-07,-61.16619061539207
8.171783,0.008175119,1.9181157,-13.28310042023408,-2.0130538e-10,280,0.13904476165771484,2.5919744968414307,0.001417119,-0.042099703,-0.040682584,3417.1102737494894,5.454810857772827,10006.383589159903,1076.076413464258,2409.680197179245,80211.4118968779,8.136550523689815,1,0.23230826701586615,-69.21731543868954
8.208945,0.0043168417,1.943985,-12.52214299569007,8.456261e-11,280,0.13193845748901367,2.6049695014953613,0.0029596575,-0.04391021,-0.04095055,3605.1377584278953,5.432497024536133,9553.954542989159,1056.8263280988497,2393.673514648481,68023.18090319722,8.190115262145088,2,0.430387103209947,-69.91466905095568
8.362908,0.016056873,1.948743,0.46662287595379565,-1.7513516e-10,280,0.13193178176879883,2.579500436782837,0.0041895956,-0.04518221,-0.040992614,3635.492219327691,5.3743979930877686,15971.486517385054,2121.698524456595,4936.646795947226,82871.64990510416,8.19849979189464,3,0.5362473907325185,-70.93121955230723
8.388199,0.007891264,2.0292468,-16.011722988069074,-2.6378602e-10,280,0.13467812538146973,2.57828950881958,0.0031530634,-0.044911813,-0.04175875,4237.700999293067,5.281360149383545,19652.000214622796,2859.4228250584015,6161.274853346943,104352.18943392075,8.351776184025265,4,0.6468104543702413,-67.70618784596223
8.407841,0.008555897,2.042532,32.69017676245685,4.5599327e-10,280,0.1376492977142334,2.6986658573150635,0.0025481246,-0.044417735,-0.04186961,4332.608830201681,5.487024307250977,24525.583315132386,3740.842223518254,7823.138611342772,150726.22452779964,8.37392514076687,5,0.730166923111488,-77.81855568849369
8.443588,0.0072419145,2.0527616,25.355093054878413,-6.1023804e-11,280,0.1403193473815918,2.576519012451172,0.0031647943,-0.04513183,-0.041967034,4417.869894397421,5.731192350387573,23773.66285245122,3679.433338242636,7603.7537229401805,124385.99433438579,8.39341293456441,6,0.7404051298806285,-65.45095608944372
8.456427,0.0056746174,2.0757332,16.25249869326098,-3.966547e-10,280,0.13684558868408203,2.5607895851135254,0.002119355,-0.04429272,-0.042173363,4603.987228934977,5.577819108963013,24585.380109095662,3687.825696222171,7929.975453588652,130074.39477696668,8.434677995931535,7,0.7916686845729747,-63.472040052128655
8.463558,0.006030514,2.0792704,31.800643832403804,-1.17080555e-11,280,0.13480377197265625,2.467177629470825,0.001514826,-0.043722376,-0.04220755,4635.5965027863185,5.6179773807525635,28618.37938558296,4364.584629484353,9290.369060219751,157327.73128157452,8.441520165034703,8,0.7748769858923454,-76.42233243295841
8.457464,0.0069321836,2.0881178,-1.7671339589203974,-6.206156e-10,280,0.13699126243591309,2.5743606090545654,0.0023713075,-0.044670373,-0.042299066,4721.211285994084,5.565877199172974,28382.516091355905,4286.612500725718,9069.697821103968,140244.65373175306,8.459820674044746,9,0.7501625202346419,-57.78479302223057
8.42856,0.0061159683,2.091167,7.919662397769578,3.8268488e-10,280,0.13155174255371094,2.5408129692077637,0.002402246,-0.044721693,-0.042319447,4740.353794750341,5.608183145523071,32591.9090899741,4959.099655375724,10485.148618568792,159741.70910060403,8.463867052146366,10,0.767171516216481,-64.91412555033708
8.514963,0.0059931227,2.075708,10.43437798189515,-2.624113e-10,280,0.13560223579406738,2.5770840644836426,0.002066873,-0.04421164,-0.042144768,4577.7136038192975,5.529905080795288,35898.83997468782,5397.899387911755,11728.347810595784,175493.45391419556,8.428954939319974,11,0.8053966209558268,-68.67419677777245
8.577113,0.0053681447,2.1254709,60.19507457106209,-1.7220599e-10,280,0.13755488395690918,2.5159785747528076,0.001966279,-0.044548556,-0.042582277,4996.280780324956,5.651199579238892,39577.14859178585,5951.419092195614,12854.617927320925,181083.41919970352,8.516449070692062,12,0.802241620551917,-64.6551348584138
8.649749,0.0046343007,2.1689837,1.564743942412003,2.759542e-10,280,0.1354975700378418,2.531942844390869,0.0018014647,-0.044721656,-0.04292019,5345.648331811331,5.52865743637085,37441.14560505585,5704.687004695613,12195.387689871732,184954.56403780976,8.584038112980979,13,0.8026356645958903,-65.37178705905227
8.676445,0.00566648,2.2081225,61.58990054605334,-1.8934675e-10,280,0.137434720993042,2.574862241744995,0.0017756186,-0.045024876,-0.043249257,5709.232799665449,5.766218662261963,40244.512507432206,6163.7521863254415,13176.290365151508,181369.58449103474,8.649839932793663,14,0.8094734330060326,-71.93017671407907
